الكتب أصدقاء لا يخونون|مارك توين
من يفتح باب مدرسة يغلق باب سجن|فيكتور هوجو
في الكتب أعناق من الجمال لا تُرى إلا بالتدبر|مصطفى صادق الرافعي
القراءة تصقل العقل كما تصقل الرياضة الجسد|جوزيف أديسون
غرفة بلا كتب كجسد بلا روح|شيشرون
كتاب واحد جيد في البيت خير من كنز|مثل عربي
لا صديق أوفي من كتاب|إرنست همنغواي
القراءة هي بوابة الحكمة|فرانسيس بيكون
الكلمة الحرة هي أساس الحضارة|طه حسين
الأدب مرآة الحياة|جبران خليل جبران
الكتابة هي الرسم بالكلمات|بلوتارخ
من يكتب يتعلم مرتين|جوزيف جوبير
القلم أقوى من السيف|مثل إنجليزي
اطلبوا العلم من المهد إلى اللحد|حديث نبوي
المعرفة قوة|فرانسيس بيكون
العقل السليم في الجسم السليم|يوڤينال
من لم يتعلم في صغره لم يتقدم في كبره|مثل عربي
التعليم هو السلاح الأقوى لتغيير العالم|نيلسون مانديلا
الحياة مثل الدراجة، لكي تحافظ على توازنك يجب أن تستمر في التحرك|ألبرت أينشتاين
لا تؤجل عمل اليوم إلى الغد|مثل عربي
الصبر مفتاح الفرج|مثل عربي
من جد وجد ومن زرع حصد|مثل عربي
الوقت كالسيف إن لم تقطعه قطعك|مثل عربي
الحب أعمى|مثل عالمي
من أحب شيئاً غير الله عذبه|ابن القيم
الإنسان عدو ما يجهل|المتنبي
لا تكن حلواً فتؤكل، ولا مراً فترمى|لقمان الحكيم
النجاح ليس نهائياً، والفشل ليس قاتلاً: الشجاعة على الاستمرار هي التي تهم|ونستون تشرشل
لا تنتظر الفرصة، بل اصنعها|جورج برنارد شو
من يجرؤ على إضاعة ساعة من وقته لم يكتشف قيمة الحياة|تشارلز داروين
الطموح سلم النجاح، لكن درجاته الثقة بالنفس|مثل صيني
إن مع العسر يسراً|القرآن الكريم
ومن يتق الله يجعل له مخرجاً|القرآن الكريم
الدين المعاملة|حديث نبوي
خير الناس أنفعهم للناس|حديث نبوي
من سلك طريقاً يلتمس فيه علماً سهل الله له طريقاً إلى الجنة|حديث نبوي
الفن هو التعبير عن أعمق الأفكار بأبسط الطرق|ألبرت أينشتاين
الجمال في عين الناظر|مثل إنجليزي
الموسيقى لغة الروح|أفلاطون
سافر تجد عوضاً عما تفارقه|المتنبي
الرحلة ألف ميل تبدأ بخطوة|لاو تزو
من لم يسافر لم يعرف قيمة الناس|مثل عربي
الإرادة القوية تهزم المستحيل|مثل عربي
من أراد العلا سهر الليالي|أحمد شوقي
العزيمة لا تعرف المستحيل|مثل صيني
الصديق وقت الضيق|مثل عربي
قل لي من تصاحب أقل لك من أنت|مثل عربي
أفضل طريقة للتنبؤ بالمستقبل هي صنعه|أبراهام لينكولن
العلم يرفع بيتاً لا عماد له|المتنبي
والجهل يهدم بيت العز والشرف|المتنبي
أعقل الناس أعذرهم للناس|علي بن أبي طالب
لا يلدغ المؤمن من جحر واحد مرتين|حديث نبوي
تجارب الآخرين مصابيح|مثل عربي
من أدبه الله فأدبه قليل|حديث نبوي
من حسن إسلام المرء تركه ما لا يعنيه|حديث نبوي
لا خير فيمن لا يألف ولا يؤلف|حديث نبوي
أحب الأعمال إلى الله أدومها وإن قل|حديث نبوي
الابتسامة هي أقصر مسافة بين شخصين|مثل عالمي
الكلمة الطيبة صدقة|حديث نبوي
اتق الله حيثما كنت|حديث نبوي
